,Index,Date,Year,Month,Amount,Label,Account,Description,Category
62,62,4/01/2022,2022,04-Apr,24.09,Service & Parts,Citi,Toyota,Car Maintenance
63,63,6/01/2022,2022,06-Jun,-54.99,Gas & Fuel,Citi,Shell,Gas
64,64,5/01/2020,2020,05-May,-71.57,Paycheck,Checking,WORCESTER POLYTE DIRECT DEP 211203 PPD,Income
65,65,3/01/2020,2020,03-Mar,-86.82,Credit Card Payment,Checking,CITI AUTOPAY PAYMENT 211201 WEB,Ignore
66,66,3/01/2022,2022,03-Mar,-7.85,Investment,Checking,FID BKG SVC LLC MONEYLINE 211202 PPD,Investment
67,67,12/01/2022,2022,12-Dec,31.59,Safety Net,Checking,Axos Bank Transfer 211201 WEB,Safety Net
68,68,6/01/2020,2020,06-Jun,-89.67,Retirement Savings,Checking,FID BKG SVC LLC MONEYLINE 211202 PPD,Retirement Savings
69,69,1/01/2022,2022,01-Jan,62.45,Mortgage & Rent,Checking,CHECK NUMBER 995009,Mortgage/Rent
70,70,9/01/2020,2020,09-Sep,-12.09,Income,Citi,Autopay Rautopay Auto,Income
71,71,7/01/2020,2020,07-Jul,60.65,Gift,Chase,Amazon,Gifts
72,72,10/01/2021,2021,10-Oct,13.63,Take-Out & Delivery,Citi,Slice,Take-Out
73,73,2/01/2022,2022,02-Feb,-20.32,Interest Income,Savings **3175,Interest Paid,Income
74,74,6/01/2022,2022,06-Jun,-31.02,Interest Income,STATEMENT SAVINGS,INTEREST PAID 11/01 THROUGH 11/30,Income
75,75,3/01/2022,2022,03-Mar,-96.94,Entertainment,Citi,"Curiositystream, LLC",Entertainment
76,76,3/01/2022,2022,03-Mar,52.05,Groceries,Chase,Whole Foods,Groceries
77,77,11/01/2020,2020,11-Nov,7.1,Take-Out & Delivery,Citi,Slice,Take-Out
78,78,6/01/2022,2022,06-Jun,52.44,Restaurants,Citi,Cold Stone Creamery,Take-Out
79,79,10/01/2022,2022,10-Oct,22.38,Electronics & Software,Citi,LogMeIn,Personal Expenses
80,80,1/01/2021,2021,01-Jan,-44.19,Pharmacy,Citi,CVS,Medical/Healthcare
81,81,9/01/2020,2020,09-Sep,-63.84,Shopping,Citi,SP * PAPERLIKE HAMBURG DEU,Personal Expenses
82,82,9/01/2021,2021,09-Sep,-45.25,Internet,Checking,Venmo Cashout Ppd,Utilities
83,83,7/01/2022,2022,07-Jul,64.69,Take-Out & Delivery,Citi,Slice,Take-Out
84,84,5/01/2022,2022,05-May,90.68,Credit Card Payment,Checking,CHASE CREDIT CRD AUTOPAY 211122 PPD,Ignore
85,85,9/01/2020,2020,09-Sep,11.61,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
86,86,9/01/2020,2020,09-Sep,-70.95,Internet,Citi,Comcast,Utilities
87,87,8/01/2021,2021,08-Aug,-42.81,Credit Card Payment,Chase,AUTOMATIC PAYMENT - THANK,Ignore
88,88,11/01/2020,2020,11-Nov,-31.9,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
89,89,9/01/2020,2020,09-Sep,2.25,Restaurants,Citi,GrubHub,Take-Out
90,90,6/01/2022,2022,06-Jun,72.7,Groceries,Chase,Whole Foods,Groceries
91,91,6/01/2020,2020,06-Jun,39.16,Restaurants,Citi,GrubHub,Take-Out
92,92,8/01/2021,2021,08-Aug,-52.27,Groceries,Citi,Market Basket,Groceries
93,93,1/01/2021,2021,01-Jan,-1.71,Restaurants,Citi,GrubHub,Take-Out
94,94,7/01/2021,2021,07-Jul,74.41,Paycheck,Checking,WORCESTER POLYTE DIRECT DEP 211119 PPD,Income
95,95,2/01/2021,2021,02-Feb,37.84,Gym,Checking,PLANET FIT CLUB FEES PPD,Medical/Healthcare
96,96,10/01/2022,2022,10-Oct,-82.98,Take-Out & Delivery,Citi,Slice,Take-Out
97,97,8/01/2020,2020,08-Aug,-14.6,Health & Fitness,Citi,The Vitamin Shoppe,Medical/Healthcare
98,98,2/01/2020,2020,02-Feb,-0.29,Take-Out & Delivery,Citi,Slice,Take-Out
99,99,10/01/2021,2021,10-Oct,-59.9,Take-Out & Delivery,Citi,Slice,Take-Out
100,100,2/01/2021,2021,02-Feb,-7.69,Restaurants,Citi,Sorrentos Pizzeria,Take-Out
101,101,7/01/2021,2021,07-Jul,18.0,Transfer,Checking,Venmo,Ignore
102,102,4/01/2022,2022,04-Apr,41.11,Take-Out & Delivery,Citi,Slice,Take-Out
103,103,2/01/2020,2020,02-Feb,12.98,Internet,Citi,Comcast,Utilities
104,104,4/01/2021,2021,04-Apr,-41.84,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
105,105,9/01/2021,2021,09-Sep,46.77,Take-Out & Delivery,Citi,Slice,Take-Out
106,106,5/01/2020,2020,05-May,97.96,Tuition,Citi,Worcester Polytechnic Institute,Education
107,107,8/01/2020,2020,08-Aug,-34.65,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
108,108,1/01/2021,2021,01-Jan,9.79,Gas & Fuel,Citi,Exxon,Gas
109,109,6/01/2022,2022,06-Jun,58.42,Paycheck,Checking,WORCESTER POLYTE DIRECT DEP 211105 PPD,Income
110,110,7/01/2021,2021,07-Jul,-49.05,Groceries,Citi,Market Basket,Groceries
111,111,10/01/2020,2020,10-Oct,-19.87,Transfer,Savings **3175,EXTERNAL TRANSFERThe Savings Bank,Ignore
112,112,12/01/2020,2020,12-Dec,17.9,Take-Out & Delivery,Citi,Slice,Take-Out
113,113,6/01/2021,2021,06-Jun,-51.24,Music,Citi,Spotify,Entertainment
114,114,7/01/2020,2020,07-Jul,81.92,Education,Citi,COLLEGE TRANSCRIPT 703-742-4200 VA,Education
115,115,8/01/2021,2021,08-Aug,-85.83,Credit Card Payment,Checking,CITI AUTOPAY PAYMENT 211101 WEB,Ignore
116,116,10/01/2022,2022,10-Oct,-86.84,Retirement Savings,Checking,FID BKG SVC LLC MONEYLINE 211102 PPD,Retirement Savings
117,117,12/01/2022,2022,12-Dec,-50.41,Safety Net,Checking,Axos Bank Transfer 211101 WEB,Safety Net
118,118,12/01/2021,2021,12-Dec,15.22,Take-Out & Delivery,Citi,Slice,Take-Out
119,119,12/01/2020,2020,12-Dec,61.51,Income,Citi,Autopay Rautopay Auto,Income
120,120,10/01/2021,2021,10-Oct,-75.73,Gym,Checking,PLANET FIT CLUB FEES PPD,Medical/Healthcare
121,121,3/01/2020,2020,03-Mar,-43.82,Interest Income,Savings **3175,Interest Paid,Income
122,122,8/01/2020,2020,08-Aug,-46.78,Groceries,Chase,Whole Foods,Groceries
123,123,1/01/2022,2022,01-Jan,-72.77,Interest Income,STATEMENT SAVINGS,INTEREST PAID 10/01 THROUGH 10/31,Income
124,124,1/01/2022,2022,01-Jan,23.96,Take-Out & Delivery,Citi,Slice,Take-Out
125,125,9/01/2022,2022,09-Sep,61.63,Gas & Fuel,Chase,Exxon,Gas
126,126,11/01/2020,2020,11-Nov,99.04,Pharmacy,Chase,Walgreens,Medical/Healthcare
127,127,11/01/2021,2021,11-Nov,-16.24,Income,Checking,MOBILE DEPOSIT,Income
128,128,12/01/2021,2021,12-Dec,28.26,Gas & Fuel,Chase,Exxon,Gas
129,129,1/01/2020,2020,01-Jan,65.83,Credit Card Payment,Checking,CHASE CREDIT CRD AUTOPAY 211022 PPD,Ignore
130,130,9/01/2022,2022,09-Sep,84.08,Pharmacy,Chase,Walgreens,Medical/Healthcare
131,131,9/01/2022,2022,09-Sep,31.02,Shopping,Chase,Amazon,Personal Expenses
132,132,11/01/2022,2022,11-Nov,16.65,Take-Out & Delivery,Citi,Slice,Take-Out
133,133,10/01/2020,2020,10-Oct,-42.99,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
134,134,3/01/2022,2022,03-Mar,-48.74,Credit Card Payment,Chase,AUTOMATIC PAYMENT - THANK,Ignore
135,135,2/01/2021,2021,02-Feb,79.21,Fast Food,Citi,Panera Bread,Take-Out
136,136,12/01/2022,2022,12-Dec,-15.4,Paycheck,Checking,WORCESTER POLYTE DIRECT DEP 211022 PPD,Income
137,137,11/01/2020,2020,11-Nov,-99.73,Coffee Shops,Citi,Starbucks,Coffee
138,138,11/01/2021,2021,11-Nov,-85.86,Restaurants,Citi,GrubHub,Take-Out
139,139,3/01/2022,2022,03-Mar,-95.51,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
140,140,11/01/2021,2021,11-Nov,17.29,Gym,Checking,PLANET FIT CLUB FEES PPD,Medical/Healthcare
141,141,10/01/2021,2021,10-Oct,-85.78,Shopping,Chase,Amazon,Personal Expenses
142,142,9/01/2022,2022,09-Sep,-78.73,Restaurants,Citi,HONEYHONEY CAFE MALDEN 9782129886 MA,Take-Out
143,143,7/01/2021,2021,07-Jul,-43.77,Parking,Citi,DCR-METER PARKING BOSTON MA,Car
144,144,3/01/2021,2021,03-Mar,-14.99,Take-Out & Delivery,Citi,Slice,Take-Out
145,145,12/01/2020,2020,12-Dec,78.82,Transfer,Checking,Venmo,Ignore
146,146,2/01/2021,2021,02-Feb,-71.61,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
147,147,11/01/2022,2022,11-Nov,73.12,Health & Fitness,Citi,The Vitamin Shoppe,Medical/Healthcare
148,148,11/01/2020,2020,11-Nov,14.84,Gas & Fuel,Citi,Exxon,Gas
149,149,9/01/2021,2021,09-Sep,3.67,Take-Out & Delivery,Citi,Slice,Take-Out
150,150,1/01/2022,2022,01-Jan,77.35,Paycheck,Checking,WORCESTER POLYTE DIRECT DEP 211008 PPD,Income
151,151,5/01/2020,2020,05-May,5.55,Groceries,Citi,Market Basket,Groceries
152,152,12/01/2022,2022,12-Dec,8.62,Alcohol & Bars,Citi,LORD HOBO WOBURN Woburn MA,Alcohol
153,153,6/01/2022,2022,06-Jun,13.15,Electronics & Software,Citi,ZOTERO.ORG VIENNA VA,Personal Expenses
154,154,5/01/2022,2022,05-May,-12.24,Restaurants,Citi,TST* RAIL TRAIL FLATBR 978-293-3552 MA,Take-Out
155,155,1/01/2022,2022,01-Jan,-32.76,Restaurants,Citi,GrubHub,Take-Out
156,156,7/01/2021,2021,07-Jul,-68.03,Transfer,Savings **3175,EXTERNAL TRANSFERThe Savings Bank,Ignore
157,157,3/01/2020,2020,03-Mar,-78.01,Food & Dining,Checking,Venmo Cashout Ppd,Take-Out
158,158,7/01/2022,2022,07-Jul,-71.52,Transfer,Checking,Venmo,Ignore
159,159,10/01/2022,2022,10-Oct,23.97,Music,Citi,Spotify,Entertainment
160,160,10/01/2020,2020,10-Oct,64.7,Alcohol & Bars,Checking,Venmo,Alcohol
161,161,8/01/2020,2020,08-Aug,2.65,Safety Net,Checking,Axos Bank Transfer 211001 WEB,Safety Net
162,162,11/01/2020,2020,11-Nov,-87.8,Retirement Savings,Checking,FID BKG SVC LLC MONEYLINE 211004 PPD,Retirement Savings
163,163,2/01/2022,2022,02-Feb,7.37,Shopping,Chase,Amazon,Personal Expenses
164,164,3/01/2021,2021,03-Mar,-68.87,Restaurants,Citi,GrubHub,Take-Out
165,165,5/01/2020,2020,05-May,14.56,Groceries,Chase,Whole Foods,Groceries
166,166,1/01/2022,2022,01-Jan,-93.33,Interest Income,Savings **3175,Interest Paid,Income
167,167,2/01/2020,2020,02-Feb,-98.44,Restaurants,Citi,GrubHub,Take-Out
168,168,11/01/2022,2022,11-Nov,98.27,Interest Income,STATEMENT SAVINGS,INTEREST PAID 09/01 THROUGH 09/30,Income
169,169,5/01/2021,2021,05-May,91.77,Food & Dining,Checking,Venmo Cashout Ppd,Take-Out
170,170,7/01/2021,2021,07-Jul,59.69,Coffee Shops,Citi,Dunkin Donuts,Coffee
171,171,8/01/2022,2022,08-Aug,-20.12,Groceries,Citi,Harper's Farm & Garden,Groceries
172,172,12/01/2022,2022,12-Dec,67.01,Coffee Shops,Citi,Dunkin Donuts,Coffee
173,173,6/01/2020,2020,06-Jun,10.56,Restaurants,Citi,Tequila's Mexican Cantina,Take-Out
174,174,10/01/2022,2022,10-Oct,11.08,Income,Checking,MOBILE DEPOSIT,Income
175,175,10/01/2021,2021,10-Oct,-38.42,Restaurants,Citi,GrubHub,Take-Out
176,176,6/01/2021,2021,06-Jun,-28.42,Gas & Fuel,Citi,Exxon,Gas
177,177,8/01/2020,2020,08-Aug,90.52,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
178,178,4/01/2021,2021,04-Apr,43.07,Credit Card Payment,Checking,CHASE CREDIT CRD AUTOPAY 210922 PPD,Ignore
179,179,3/01/2020,2020,03-Mar,-75.48,Credit Card Payment,Chase,AUTOMATIC PAYMENT - THANK,Ignore
180,180,4/01/2021,2021,04-Apr,-77.4,Take-Out & Delivery,Citi,Slice,Take-Out
181,181,12/01/2021,2021,12-Dec,1.91,Gym,Citi,Planet Fitness,Medical/Healthcare
182,182,8/01/2022,2022,08-Aug,-98.52,Education,Citi,COLLEGE TRANSCRIPT 703-742-4200 VA,Education
183,183,11/01/2020,2020,11-Nov,48.55,Coffee Shops,Citi,Starbucks,Coffee
184,184,10/01/2020,2020,10-Oct,76.47,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
185,185,8/01/2021,2021,08-Aug,84.83,Restaurants,Citi,GrubHub,Take-Out
186,186,2/01/2022,2022,02-Feb,-24.06,Clothing,Citi,UA.COM*888-727-6687 MD 8884276687 MD,Clothing
187,187,7/01/2021,2021,07-Jul,14.36,Coffee Shops,Citi,Starbucks,Coffee
188,188,9/01/2020,2020,09-Sep,84.01,Income,Checking,MOBILE DEPOSIT,Income
189,189,6/01/2021,2021,06-Jun,-24.81,Gift,Citi,ULTA GIFT CARDS 877-850-1977 ME,Gifts
190,190,9/01/2022,2022,09-Sep,-88.37,Shopping,Chase,Amazon,Personal Expenses
191,191,11/01/2020,2020,11-Nov,-82.92,Service & Parts,Citi,Golden Nozzle Car Wash,Car Maintenance
192,192,6/01/2020,2020,06-Jun,14.54,Electronics & Software,Citi,Best Buy,Personal Expenses
193,193,2/01/2021,2021,02-Feb,94.28,Groceries,Citi,Market Basket,Groceries
194,194,1/01/2020,2020,01-Jan,70.88,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
195,195,9/01/2020,2020,09-Sep,78.74,Gas & Fuel,Citi,Exxon,Gas
196,196,10/01/2022,2022,10-Oct,19.42,Credit Card Payment,Checking,CITI CARD ONLINE PAYMENT 210907 WEB,Ignore
197,197,10/01/2021,2021,10-Oct,-26.35,Transfer,Savings **3175,EXTERNAL TRANSFERThe Savings Bank,Ignore
198,198,11/01/2020,2020,11-Nov,92.16,Coffee Shops,Citi,Dunkin Donuts,Coffee
199,199,4/01/2022,2022,04-Apr,-62.17,Fast Food,Citi,SHAWARMA PALACE WORCESTER MA,Take-Out
200,200,7/01/2020,2020,07-Jul,18.35,Credit Card Payment,Citi,"ONLINE PAYMENT, THANK YOU",Ignore
201,201,7/01/2021,2021,07-Jul,49.94,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
202,202,6/01/2021,2021,06-Jun,70.22,Education,Citi,Microsoft,Education
203,203,7/01/2020,2020,07-Jul,-63.43,Fast Food,Citi,SHAWARMA PALACE WORCESTER MA,Take-Out
204,204,3/01/2022,2022,03-Mar,-65.47,Music,Citi,Spotify,Entertainment
205,205,4/01/2022,2022,04-Apr,-84.79,Income,Citi,Tjmaxx Saugus Ma,Income
206,206,7/01/2022,2022,07-Jul,22.21,Paycheck,Checking,COMMONWEALTH OF UM PAYROLL 210828 PPD,Income
207,207,10/01/2022,2022,10-Oct,15.41,Personal Care,Citi,Walgreens,Medical/Healthcare
208,208,8/01/2020,2020,08-Aug,75.73,Bank Fee,Citi,TMS*WPI SERVICE FEE 800-609-8056 NE,
209,209,9/01/2020,2020,09-Sep,62.23,Alcohol & Bars,Citi,North Shore Liquors Inc,Alcohol
210,210,11/01/2020,2020,11-Nov,-83.89,Education,Citi,TMS*WORCESTER POLYTECH 800-609-8056 MA,Education
211,211,1/01/2021,2021,01-Jan,21.36,Safety Net,Checking,Axos Bank Transfer 210901 WEB,Safety Net
212,212,7/01/2021,2021,07-Jul,75.2,Credit Card Payment,Checking,CITI AUTOPAY PAYMENT 210901 WEB,Ignore
213,213,11/01/2020,2020,11-Nov,81.79,Retirement Savings,Checking,FID BKG SVC LLC MONEYLINE 210902 PPD,Retirement Savings
214,214,7/01/2021,2021,07-Jul,-93.28,Entertainment,Citi,STL*HYDROFLASK.COM 888-584-9376 TX,Entertainment
215,215,4/01/2021,2021,04-Apr,67.42,Income,Citi,Autopay Rautopay Auto,Income
216,216,6/01/2021,2021,06-Jun,92.55,Interest Income,Savings **3175,Interest Paid,Income
217,217,2/01/2021,2021,02-Feb,17.06,Babysitter & Daycare,Citi,Worcester Polytechnic Institute,
218,218,7/01/2022,2022,07-Jul,-27.39,Interest Income,STATEMENT SAVINGS,INTEREST PAID 08/01 THROUGH 08/31,Income
219,219,3/01/2021,2021,03-Mar,79.46,Shopping,Chase,Amazon,Personal Expenses
220,220,5/01/2022,2022,05-May,63.16,Gas & Fuel,Citi,Exxon,Gas
221,221,3/01/2021,2021,03-Mar,93.82,Clothing,Citi,TJ Maxx,Clothing
222,222,4/01/2022,2022,04-Apr,-9.45,Groceries,Citi,Market Basket,Groceries
223,223,2/01/2020,2020,02-Feb,43.63,Pharmacy,Citi,CVS,Medical/Healthcare
224,224,8/01/2020,2020,08-Aug,-46.83,Restaurants,Citi,GrubHub,Take-Out
225,225,12/01/2020,2020,12-Dec,-77.27,Restaurants,Citi,TST* NU CAFE WORCESTER MA,Take-Out
226,226,4/01/2021,2021,04-Apr,77.23,Shopping,Chase,Amazon,Personal Expenses
227,227,10/01/2021,2021,10-Oct,-61.41,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
228,228,10/01/2021,2021,10-Oct,76.6,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
229,229,2/01/2021,2021,02-Feb,-89.71,Restaurants,Citi,GrubHub,Take-Out
230,230,7/01/2022,2022,07-Jul,-54.58,Coffee Shops,Citi,Dunkin Donuts,Coffee
231,231,7/01/2021,2021,07-Jul,40.01,Credit Card Payment,Checking,CHASE CREDIT CRD AUTOPAY 210822 PPD,Ignore
232,232,4/01/2021,2021,04-Apr,-0.85,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
233,233,11/01/2020,2020,11-Nov,19.42,Gas & Fuel,Citi,Exxon,Gas
234,234,5/01/2022,2022,05-May,-2.64,Credit Card Payment,Chase,AUTOMATIC PAYMENT - THANK,Ignore
235,235,4/01/2022,2022,04-Apr,45.45,Restaurants,Citi,TST* NU CAFE WORCESTER MA,Take-Out
236,236,8/01/2021,2021,08-Aug,94.58,Coffee Shops,Citi,Dunkin Donuts,Coffee
237,237,10/01/2020,2020,10-Oct,-64.95,Education,Citi,US NEWS AND WORLD REPO 2129168708 NJ,Education
238,238,5/01/2021,2021,05-May,34.26,Groceries,Chase,Whole Foods,Groceries
239,239,5/01/2021,2021,05-May,-65.92,Income,Checking,COMMONWEALTH OF UM PAYROLL 210814 PPD,Income
240,240,5/01/2020,2020,05-May,-36.33,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
241,241,5/01/2021,2021,05-May,76.99,Restaurants,Citi,GrubHub,Take-Out
242,242,9/01/2020,2020,09-Sep,39.75,Restaurants,Citi,TST* EGGROLL CAFE 978-970-3411 MA,Take-Out
243,243,11/01/2021,2021,11-Nov,-65.82,Education,Citi,ENGINEERINGCAS 8573042048 MA,Education
244,244,8/01/2022,2022,08-Aug,55.65,Education,Citi,Worcester Polytechnic Institute,Education
245,245,3/01/2021,2021,03-Mar,-28.87,Groceries,Chase,Whole Foods,Groceries
246,246,2/01/2021,2021,02-Feb,97.46,Restaurants,Citi,TST* EGGROLL CAFE LOWELL MA,Take-Out
247,247,6/01/2022,2022,06-Jun,36.61,Transfer,Checking,Venmo,Ignore
248,248,6/01/2021,2021,06-Jun,-31.43,Gas & Fuel,Citi,Exxon,Gas
249,249,8/01/2021,2021,08-Aug,78.61,Tuition,Citi,UML COLLEGE 9789342000 MA,Education
250,250,8/01/2021,2021,08-Aug,-73.42,Tuition,Citi,UML COLLEGE FSF 8003469252 MA,Education
251,251,1/01/2022,2022,01-Jan,-39.32,Groceries,Citi,E-Z Indian Grocery Store,Groceries
252,252,5/01/2021,2021,05-May,-71.36,Restaurants,Citi,GrubHub,Take-Out
253,253,9/01/2021,2021,09-Sep,97.78,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
254,254,11/01/2021,2021,11-Nov,-54.97,Education,Checking,Venmo Cashout Ppd,Education
255,255,1/01/2022,2022,01-Jan,37.79,Restaurants,Citi,EGYPTIAN GRILL LOWELL MA,Take-Out
256,256,8/01/2020,2020,08-Aug,93.06,Coffee Shops,Citi,Dunkin Donuts,Coffee
257,257,10/01/2020,2020,10-Oct,-27.35,Restaurants,Citi,GrubHub,Take-Out
258,258,2/01/2020,2020,02-Feb,96.45,Restaurants,Citi,TACOS LUPITA LOWELL LOWELL MA,Take-Out
259,259,5/01/2022,2022,05-May,92.95,Groceries,Citi,Market Basket,Groceries
260,260,11/01/2021,2021,11-Nov,-94.57,Restaurants,Citi,GrubHub,Take-Out
261,261,2/01/2022,2022,02-Feb,-47.35,Restaurants,Citi,GrubHub,Take-Out
